city,state,policy_effective_date
Albuquerque,NM,2017-06-02
Anaheim,CA,2017-2015-06
Anchorage,AK,2013-01-04
Arlington,TX,1993-06-01
Atlanta,GA,2013-10-30
Aurora,CO,2011-02-09
Austin,TX,2015-05-04
Bakersfield,CA,2017-05-03
Baltimore,MD,2001-07-27
Baton Rouge,LA,2017-02-08
Birmingham,AL,2016-09-15
Boston,MA,2003-04-11
Buffalo,NY,2018-05-31
Chandler,AZ,2015-04-23
Charlotte-mecklenburg,NC,2009-02-06
Chesapeake,VA,27-2017-03
Chicago,IL,2015-02-10
Chula Vista,CA,2014-09-24
Cincinnati,OH,2015-09-17
Cleveland,OH,2014-08-08
Colorado Springs,CO,2013-06-17
Columbus,OH,2017-12-30
Corpus Christi,TX,2014-12-08
Dallas,TX,2015-06-03
Denver,CO,
Detroit,MI,2014-08-06
Durham,NC,2015-09-01
El Paso,TX,1999-04-08
Fort Wayne,IN,2015-06-01
Fort Worth,TX,
Fremont,CA,2014-10-22
Fresno,CA,
Garland,TX,2008-03-01
Glendale,CA,2002-11-02
Greensboro,NC,2015-06-10
Henderson,NV,2015-05-06
Hialeah,FL,2012-02-27
Honolulu,HI,2015-04-24
Houston,TX,2015-09-30
Indianapolis,IN,2012-07-06
Irvine,CA,2012-08-09
Irving,TX,
Jacksonville,FL,2014-10-30
Jersey City,NJ,2003-02-11
Kansas City,MO,13-10-12
Laredo,TX,
Las Vegas,NV,
Lexington,KY,2016-03-13
Lincoln,NE,2016-01-01
Long Beach,CA,2015-10-20
Los Angeles,CA,2019-08-19
Louisville,KY,2015-05-10
Lubbock,TX,2014-01-01
Madison,WI,2015-03-26
Memphis,TN,2013-09-11
Mesa,AZ,2012-04-06
Miami,FL,2015-06-30
Milwaukee,WI,2015-05-05
Minneapolis,MN,2010-10-01
New Orleans,LA,2013-06-23
Newark,NJ,2013-03-04
New York,NY,2016-06-01
Norfolk,VA,2009-05-14
North Las Vegas,NV,2005-10-01
Oakland,CA,2014-10-16
Oklahoma City,OK,2014-09-01
Omaha,NE,
Orlando,FL,2014-03-14
Philadelphia,PA,2010-12-20
Phoenix,AZ,2019-09-01
Pittsburgh,PA,2007-03-23
Plano,TX,2015-04-07
Portland,OR,
Raleigh,NC,
Reno,NV,2009-01-14
Riverside,CA,
Rochester,NY,1996-05-01
Sacramento,CA,2019-09-18
San Antonio,TX,2014-10-24
San Bernadino,CA,2016-04-13
San Diego,CA,2019-01-23
San Francisco,CA,2016-12-21
San Jose,CA,2015-02-23
Santa Ana,CA,2015-06-26
Scottsdale,AZ,2006-08-01
Seattle,WA,2019-09-15
Spokane,WA,2013-04-09
St. Louis,MO,2014-04-16
St. Paul,MN,
St. Petersburg,FL,2013-04-01
Stockton,CA,2015-06-18
Tampa,FL,2014-12-31
Toledo,OH,2015-01-01
Tuscon,AZ,2018-02-27
Tulsa,OK,2018-12-05
Virginia Beach,VA,2014-05-15
Washington Dc,,2002-10-07
Wichita,KS,2013-01-28
Winston-salem,NC,1997-06-27
